plu;Q (m3s);ev (mm/h);Q(mm/h)
0.4;3.35;0;0.03
0;2.69;0;0.024
0;2.4;0;0.0216
0;2.26;0;0.0204
0;2.18;0;0.0192
0;2.13;0;0.0192
0.2;2.1;0.042;0.0192
0;2.07;0.072;0.0192
0;2.06;0.09;0.018
0;2.05;0.108;0.018
0;2.04;0.126;0.018
0;2.03;0.132;0.018
0;2.03;0.132;0.018
0;2.02;0.126;0.018
0;2.02;0.108;0.018
0;2.02;0.09;0.018
0;2.02;0.072;0.018
0;2.01;0.042;0.018
0.2;2.01;0;0.018
1.2;2.64;0;0.024
0;2.39;0;0.0216
0.2;2.25;0;0.0204
0;2.17;0;0.0192
0;2.13;0;0.0192
0;2.09;0;0.0192
0.8;2.5;0;0.0228
0;2.32;0;0.0204
0;2.21;0;0.0204
0;2.15;0;0.0192
0;2.11;0;0.0192
0;2.08;0.048;0.0192
0;2.07;0.09;0.0192
0;2.05;0.114;0.018
0;2.04;0.138;0.018
2.2;3.6;0.156;0.0324
0;2.79;0.168;0.0252
0;2.45;0.168;0.0216
0;2.29;0.156;0.0204
0;2.19;0.138;0.0192
0;2.14;0.114;0.0192
0;2.1;0.09;0.0192
0;2.08;0.048;0.0192
0;2.06;0;0.018
0;2.05;0;0.018
0;2.04;0;0.018
0;2.03;0;0.018
0;2.03;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0.066;0.018
0;2.01;0.12;0.018
0;2.01;0.15;0.018
0;2.01;0.186;0.018
0;2.01;0.21;0.018
0;2.01;0.222;0.018
0;2.01;0.222;0.018
0;2.01;0.21;0.018
0;2;0.186;0.018
0;2;0.15;0.018
0;2;0.12;0.018
0;2;0.066;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
2.2;3.45;0;0.0312
0.8;3.39;0;0.03
0;2.71;0;0.024
0.8;2.99;0;0.0264
0;2.54;0;0.0228
0;2.33;0;0.0204
0;2.22;0.078;0.0204
0;2.16;0.132;0.0192
0;2.11;0.168;0.0192
0;2.09;0.21;0.0192
0;2.07;0.24;0.0192
0;2.05;0.252;0.018
0;2.04;0.252;0.018
0;2.04;0.24;0.018
0.2;2.03;0.21;0.018
0.6;2.28;0.168;0.0204
0.4;2.42;0.132;0.0216
0;2.27;0.078;0.0204
0.8;2.68;0;0.024
0.2;2.41;0;0.0216
0;2.26;0;0.0204
0.6;2.53;0;0.0228
1.8;3.78;0;0.0336
0;2.86;0;0.0252
0;2.48;0;0.0228
0;2.3;0;0.0204
0;2.2;0;0.0204
0;2.14;0;0.0192
0;2.11;0;0.0192
0;2.08;0;0.0192
0;2.06;0.042;0.018
0;2.05;0.078;0.018
0;2.04;0.102;0.018
0;2.03;0.12;0.018
0;2.03;0.138;0.018
0.2;2.02;0.15;0.018
0;2.02;0.15;0.018
0;2.02;0.138;0.018
0;2.02;0.12;0.018
0;2.01;0.102;0.018
0;2.01;0.078;0.018
0;2.01;0.042;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0.6;2.22;0;0.0204
0;2.16;0;0.0192
0;2.12;0;0.0192
0;2.09;0;0.0192
0;2.07;0;0.0192
0;2.06;0.078;0.018
0;2.04;0.132;0.018
0;2.04;0.168;0.018
0;2.03;0.21;0.018
0;2.03;0.24;0.018
0;2.02;0.252;0.018
0;2.02;0.252;0.018
0;2.02;0.24;0.018
0;2.01;0.21;0.018
0;2.01;0.168;0.018
0;2.01;0.132;0.018
0;2.01;0.078;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.132;0.018
0;2;0.24;0.018
0;2;0.306;0.018
0;2;0.372;0.018
0;2;0.42;0.018
0;2;0.45;0.018
0;2;0.45;0.018
0;2;0.42;0.018
0;2;0.372;0.018
0;2;0.306;0.018
0;2;0.24;0.018
0;2;0.132;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.138;0.018
0;2;0.246;0.018
0;2;0.312;0.018
0;2;0.384;0.018
0;2;0.438;0.018
0;2;0.462;0.018
0;2;0.462;0.018
0;2;0.438;0.018
0;2;0.384;0.018
0;2;0.312;0.018
0;2;0.246;0.018
0;2;0.138;0.018
4;5.41;0;0.0492
0.8;4.1;0;0.0372
0.2;2.96;0;0.0264
0;2.52;0;0.0228
0;2.32;0;0.0204
8.2;11.7;0;0.1056
0;4.68;0;0.042
0;3.13;0;0.0276
0.2;2.6;0;0.024
0;2.36;0;0.0216
0;2.24;0;0.0204
0;2.16;0;0.0192
0;2.12;0.138;0.0192
0;2.09;0.246;0.0192
0;2.07;0.312;0.0192
0;2.06;0.384;0.018
0;2.05;0.438;0.018
0;2.04;0.462;0.018
0;2.03;0.462;0.018
0;2.03;0.438;0.018
0;2.02;0.384;0.018
0;2.02;0.312;0.018
0;2.02;0.246;0.018
6.4;8.62;0.138;0.078
0.4;4.51;0;0.0408
0;3.08;0;0.0276
0;2.58;0;0.0228
0;2.35;0;0.0216
0;2.23;0;0.0204
0;2.16;0;0.0192
0;2.12;0;0.0192
0;2.09;0;0.0192
0;2.07;0;0.0192
0;2.06;0;0.018
0.6;2.32;0;0.0204
7;9.99;0;0.09
5.6;10.99;0.066;0.0984
1.2;5.78;0.114;0.0516
0.2;3.45;0.144;0.0312
0;2.72;0.18;0.024
0;2.42;0.204;0.0216
0;2.27;0.216;0.0204
0;2.18;0.216;0.0192
0.4;2.34;0.204;0.0216
0;2.23;0.18;0.0204
0;2.16;0.144;0.0192
0;2.12;0.114;0.0192
0;2.09;0.066;0.0192
0;2.07;0;0.0192
0;2.05;0;0.018
0;2.04;0;0.018
0;2.04;0;0.018
0;2.03;0;0.018
0;2.03;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0.072;0.018
0;2.01;0.12;0.018
0;2.01;0.156;0.018
0;2.01;0.192;0.018
0;2.01;0.216;0.018
0;2.01;0.234;0.018
0;2.01;0.234;0.018
0;2.01;0.216;0.018
0;2;0.192;0.018
0;2;0.156;0.018
0;2;0.12;0.018
0;2;0.072;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.09;0.018
0;2;0.156;0.018
0;2;0.198;0.018
0;2;0.246;0.018
0;2;0.276;0.018
0;2;0.294;0.018
0;2;0.294;0.018
0;2;0.276;0.018
0;2;0.246;0.018
0;2;0.198;0.018
0;2;0.156;0.018
0;2;0.09;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.108;0.018
0;2;0.186;0.018
0;2;0.24;0.018
0;2;0.288;0.018
0;2;0.33;0.018
0;2;0.354;0.018
0;2;0.354;0.018
0;2;0.33;0.018
0;2;0.288;0.018
0;2;0.24;0.018
0;2;0.186;0.018
1.4;2.73;0.108;0.024
11.2;16.55;0;0.1488
4;10.02;0;0.09
0.4;4.76;0;0.0432
0;3.16;0;0.0288
0;2.61;0;0.024
0;2.36;0;0.0216
0;2.24;0;0.0204
0;2.17;0;0.0192
0;2.12;0;0.0192
0;2.09;0;0.0192
0;2.07;0;0.0192
0;2.06;0;0.018
0;2.05;0.084;0.018
0;2.04;0.144;0.018
0;2.03;0.186;0.018
0;2.03;0.228;0.018
0;2.02;0.258;0.018
0;2.02;0.276;0.018
0;2.02;0.276;0.018
0;2.01;0.258;0.018
0;2.01;0.228;0.018
0;2.01;0.186;0.018
0;2.01;0.144;0.018
0;2.01;0.084;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
